archive_name,datetime,product,product_code,data_units
SNODAS_20040531.tar,2004-05-31,"Modeled snow layer thickness, total of snow layers",122405955 ,Meters / 1000.000000
SNODAS_20040531.tar,2004-05-31,"Modeled blowing snow sublimation rate, 24-hour total",122411840 ,Meters / 100000.000000
SNODAS_20040531.tar,2004-05-31,"Snow accumulation, 24-hour total",122411892 ,Kilograms per square meter / 10.000000
SNODAS_20040531.tar,2004-05-31,"Modeled melt rate, bottom of snow layers, 24-hour total",122411508 ,Meters / 100000.000000
SNODAS_20040413.tar,2004-04-13,"Modeled melt rate, bottom of snow layers, 24-hour total",116928974 ,Meters / 100000.000000
SNODAS_20040413.tar,2004-04-13,"Non-snow accumulation, 24-hour total",116929712 ,Kilograms per square meter / 10.000000
SNODAS_20040413.tar,2004-04-13,"Modeled blowing snow sublimation rate, 24-hour total",116929400 ,Meters / 100000.000000
SNODAS_20040413.tar,2004-04-13,"Snow accumulation, 24-hour total",116929503 ,Kilograms per square meter / 10.000000
SNODAS_20040413.tar,2004-04-13,"Modeled snowpack sublimation rate, 24-hour total",116929216 ,Meters / 100000.000000
SNODAS_20040413.tar,2004-04-13,"Modeled snow layer thickness, total of snow layers",116961883 ,Meters / 1000.000000
SNODAS_20040413.tar,2004-04-13,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",116929894 ,Kelvins
SNODAS_20040413.tar,2004-04-13,"Modeled snow water equivalent, total of snow layers",116924130 ,Meters / 1000.000000
SNODAS_20040501.tar,2004-05-01,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",118991779 ,Kelvins
SNODAS_20040501.tar,2004-05-01,"Modeled snow water equivalent, total of snow layers",118987025 ,Meters / 1000.000000
SNODAS_20040501.tar,2004-05-01,"Modeled melt rate, bottom of snow layers, 24-hour total",118990976 ,Meters / 100000.000000
SNODAS_20040501.tar,2004-05-01,"Modeled snow layer thickness, total of snow layers",118989300 ,Meters / 1000.000000
SNODAS_20040501.tar,2004-05-01,"Snow accumulation, 24-hour total",118991400 ,Kilograms per square meter / 10.000000
SNODAS_20040501.tar,2004-05-01,"Modeled snowpack sublimation rate, 24-hour total",118991141 ,Meters / 100000.000000
SNODAS_20040501.tar,2004-05-01,"Modeled blowing snow sublimation rate, 24-hour total",118991278 ,Meters / 100000.000000
SNODAS_20040501.tar,2004-05-01,"Non-snow accumulation, 24-hour total",118991506 ,Kilograms per square meter / 10.000000
SNODAS_20040421.tar,2004-04-21,"Modeled snow water equivalent, total of snow layers",117854495 ,Meters / 1000.000000
SNODAS_20040421.tar,2004-04-21,"Modeled snowpack sublimation rate, 24-hour total",117859086 ,Meters / 100000.000000
SNODAS_20040421.tar,2004-04-21,"Modeled blowing snow sublimation rate, 24-hour total",117859228 ,Meters / 100000.000000
SNODAS_20040421.tar,2004-04-21,"Snow accumulation, 24-hour total",117859339 ,Kilograms per square meter / 10.000000
SNODAS_20040421.tar,2004-04-21,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",117859551 ,Kelvins
SNODAS_20040421.tar,2004-04-21,"Modeled snow layer thickness, total of snow layers",117856740 ,Meters / 1000.000000
SNODAS_20040421.tar,2004-04-21,"Modeled melt rate, bottom of snow layers, 24-hour total",117859068 ,Meters / 100000.000000
SNODAS_20040421.tar,2004-04-21,"Non-snow accumulation, 24-hour total",117859392 ,Kilograms per square meter / 10.000000
SNODAS_20031120.tar,2003-11-20,"Modeled melt rate, bottom of snow layers, 24-hour total",100008290 ,Meters / 100000.000000
SNODAS_20031120.tar,2003-11-20,"Modeled snow layer thickness, total of snow layers",100008297 ,Meters / 1000.000000
SNODAS_20031120.tar,2003-11-20,"Modeled blowing snow sublimation rate, 24-hour total",100008294 ,Meters / 100000.000000
SNODAS_20031120.tar,2003-11-20,"Modeled snow water equivalent, total of snow layers",100008303 ,Meters / 1000.000000
SNODAS_20031120.tar,2003-11-20,"Modeled snowpack sublimation rate, 24-hour total",100008291 ,Meters / 100000.000000
SNODAS_20031120.tar,2003-11-20,"Snow accumulation, 24-hour total",100008295 ,Kilograms per square meter / 10.000000
SNODAS_20031120.tar,2003-11-20,"Non-snow accumulation, 24-hour total",100008296 ,Kilograms per square meter / 10.000000
SNODAS_20040221.tar,2004-02-21,"Snow accumulation, 24-hour total",110692036 ,Kilograms per square meter / 10.000000
SNODAS_20040221.tar,2004-02-21,"Modeled snow water equivalent, total of snow layers",110684938 ,Meters / 1000.000000
SNODAS_20040221.tar,2004-02-21,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",111076282 ,Kelvins
SNODAS_20040221.tar,2004-02-21,"Modeled melt rate, bottom of snow layers, 24-hour total",110691535 ,Meters / 100000.000000
SNODAS_20040221.tar,2004-02-21,"Non-snow accumulation, 24-hour total",110692002 ,Kilograms per square meter / 10.000000
SNODAS_20040221.tar,2004-02-21,"Modeled snow layer thickness, total of snow layers",110685251 ,Meters / 1000.000000
SNODAS_20040221.tar,2004-02-21,"Modeled blowing snow sublimation rate, 24-hour total",110691789 ,Meters / 100000.000000
SNODAS_20040221.tar,2004-02-21,"Modeled snowpack sublimation rate, 24-hour total",110691733 ,Meters / 100000.000000
SNODAS_20040120.tar,2004-01-20,"Modeled snow water equivalent, total of snow layers",107056611 ,Meters / 1000.000000
SNODAS_20040120.tar,2004-01-20,"Modeled snow layer thickness, total of snow layers",107056859 ,Meters / 1000.000000
